,RENT_ID,RENT_NM_x,USE_CNT,MOVE_METER,평균이동거리,RENT_NM_y,LAT,LONG
263,426,426. 서울신용보증재단,19255,52375680.12,2720.108030122046,426. 서울신용보증재단,37.54906082,126.95417786
264,427,427. 성산시영아파트,21994,53332361.25,2424.8595639719924,427. 성산시영아파트,37.5693779,126.90402985
265,428,428. 명보사거리,8300,16217212.77,1953.881056626506,428. 명보사거리,37.56439972,126.99143219
266,429,429. 송도병원,1401,3793316.74,2707.577972876517,429. 송도병원,37.54988861,127.00734711
267,430,430. 장충동먹자골목 앞,13717,31208094.36,2275.139925639717,430. 장충동먹자골목 앞,37.56212616,127.0062561
268,431,431. 청계천 영도교,56554,142101000.23,2512.6604701701026,431. 청계천 영도교,37.5710144,127.01974487
269,432,432. 마포중앙도서관,4886,11038541.38,2259.218456815391,432. 마포중앙도서관,37.56333923,126.90820312
270,433,433. 을지로입구역 2번출구,27779,64333291.93,2315.8966100291586,433. 을지로입구역 2번출구,37.56634521,126.98229218
271,434,434. 신당 래미안 버스정류장,6984,14102830.65,2019.3056486254295,434. 신당 래미안 버스정류장,37.56148911,127.02393341
272,435,435. SK 남산빌딩,3999,11188417.59,2797.8038484621156,435. SK 남산빌딩,37.55686188,126.97561646
273,436,436. 이대역 5번출구,9818,20798996.9,2118.455581584844,436. 이대역 5번출구,37.55659103,126.94618988
274,437,437. 대흥역 1번출구,16742,41315584.29,2467.780688687134,437. 대흥역 1번출구,37.54846954,126.9409256
275,438,438. 성산2-1 공영주차장,21611,61490993.48,2845.356229697839,438. 성산2-1 공영주차장,37.56472015,126.9067688
